Time (UTC),Galactic l (deg),Galactic b (deg),RA (deg),Dec (deg),Alt (deg),Az (deg)
2025-02-24 14:30:00.000,3,0,268.1490022696926,-26.364362477475588,16.47248314666221,202.59436139400208
2025-02-24 14:31:30.000,6,0,269.81677533218704,-23.772348107552965,19.29913918683755,202.2613127225925
2025-02-24 14:33:00.000,9,0,271.41913287076875,-21.163127570140674,22.127724450077665,201.93298472453387
2025-02-24 14:34:30.000,12,0,272.9657870126846,-18.539344536271344,24.957894334645896,201.60624141844903
2025-02-24 14:36:00.000,15,0,274.4655205775834,-15.903357618473489,27.78930646801037,201.27769104024455
2025-02-24 14:37:30.000,18,0,275.9263489375569,-13.257294340410391,30.621613961504437,200.94358816544323
2025-02-24 14:39:00.000,21,0,277.3556629235181,-10.603096997743204,33.45445765464362,200.5997117078256
2025-02-24 14:40:30.000,24,0,278.7603559595139,-7.942562158071035,36.28745681737436,200.24120920843725
2025-02-24 14:42:00.000,27,0,280.14693847747526,-5.277375257365934,39.120197572498235,199.86239377252926
2025-02-24 14:43:30.000,30,0,281.5216424751636,-2.6091415241309974,41.95221798114015,199.45647382896567
2025-02-24 14:45:00.000,33,0,282.89051888799634,0.0605857074656721,44.78298823277071,199.01518629310178
2025-02-24 14:46:30.000,36,0,284.259530283478,2.7302783550610683,47.61188358021665,198.52828851840493
2025-02-24 14:48:00.000,39,0,285.6346412724869,5.398407752940569,50.43814635087367,197.9828397899466
2025-02-24 14:49:30.000,42,0,287.02190897335504,8.063418798271519,53.26083116929266,197.36216213674206
2025-02-24 14:51:00.000,45,0,288.4275758660451,10.723703251886242,56.07872373050513,196.6443000891104
2025-02-24 14:52:30.000,48,0,289.85816743469553,13.3775713277669,58.890216676510484,195.79967501294726
2025-02-24 14:54:00.000,51,0,291.320597113675,16.02322062630846,61.693113518194934,194.78740259428108
2025-02-24 14:55:30.000,54,0,292.8222812160683,18.65870134350613,64.48430707434204,193.5493096840533
2025-02-24 14:57:00.000,57,0,294.3712667163406,21.281876515849568,67.25922901252264,191.99982750079386
2025-02-24 14:58:30.000,60,0,295.976374947429,23.890375831778858,70.01085953651666,190.00815150515086
2025-02-24 15:00:00.000,63,0,297.6473643968568,26.481541247014693,72.7278394890477,187.3651731618865
2025-02-24 15:01:30.000,66,0,299.39511574224775,29.05236227535492,75.39062127338767,183.71895133748518
2025-02-24 15:03:00.000,69,0,301.23184187591585,31.599398384465257,77.96300780798714,178.44308205189714
2025-02-24 15:04:30.000,72,0,303.17132463388754,34.11868541263677,80.37213388117351,170.36791903752973
2025-02-24 15:06:00.000,75,0,305.2291777802729,36.6056223617779,82.45978320981985,157.33778114471846
2025-02-24 15:07:30.000,78,0,307.42313172345973,39.054834376650724,83.8872288318781,136.4580528288047
2025-02-24 15:09:00.000,81,0,309.7733282377545,41.46000732399137,84.14958650915689,109.07070049231027
2025-02-24 15:10:30.000,84,0,312.30260129446935,43.813689396414205,83.11262860377794,85.00574628072296
2025-02-24 15:12:00.000,87,0,315.036700336949,46.107056055540596,81.22576071204209,69.29819752332554
2025-02-24 15:13:30.000,90,0,318.00438150701746,48.329637206840914,78.9150564907083,59.69052996117558
